Question no,Question,Answer,Section
117,Hoe vaak komt iemand van de zuurstofleverancier langs voor controle en onderhoud van het zuurstofapparaat?,Eenmaal per jaar komt iemand van de zuurstofleverancier bij u langs voor controle en onderhoud van het apparaat.,Zuurstof thuis --- Onderhoud van het zuurstofapparaat --- Eenmaal per jaar komt iemand van de zuurstofleverancier bij u langs voor controle en onderhoud van het apparaat. De leverancier neemt hiervoor zelf contact met u op.
118,Wanneer kan aandrang ontstaan voor ontlasting?,"Aandrang kan onder andere ontstaan binnen een half uur na de maaltijd, na het ontwaken of na het drinken van koffie.","Adviezen toiletgedrag ontlasten --- Adviezen ten aanzien van het ontlasten --- In deze folder krijgt u informatie over hoe u het beste naar het toilet kunt gaan voor het ontlasten. Goed toiletgedrag is belangrijk voor het goed functioneren van uw darmen en kan bijdragen aan een goede gezondheid. Ga naar het toilet zodra u aandrang voelt en stel het niet uit. Aandrang kan bijvoorbeeld ontstaan binnen een half uur na de maaltijd, na het ontwaken of na het drinken van koffie. Aandrang voor ontlasting uitstellen, betekent vaak dat de aandrang verdwijnt en voorlopig niet meer terugkomt. Dit kan tot verstopping leiden. Neem altijd rustig de tijd om naar het toilet te gaan. Hoe rustiger, hoe effectiever. Een normale frequentie voor ontlasting varieert van 3x per dag tot 1x per 3 dagen."
120,Wat moet ik doen als ik het onderzoek 's middags heb?,"Als het onderzoek 's middags plaatsvindt, mag u als ontbijt en om 11 uur een licht beboterde beschuit en een kopje thee gebruiken.","Dikke darmonderzoek (klinisch) --- Ná het onderzoek --- - Na de maaltijd 2 tabletten bisacodyl (= 2 x 5 mg.) innemen. N.B. Wanneer het onderzoek 's middags plaatsvindt, mag u als ontbijt en om 11 uur een licht beboterde beschuit en een kopje thee gebruiken. De eerste dagen na het onderzoek kan de ontlasting wit van kleur zijn."
121,Welke dranken kunnen bijdragen aan het verergeren van de klachten bij LAR-syndroom?,"Het is aan te raden om niet meer dan 1,5 liter per dag te drinken en hierbij geen cafeïne of koolzuurhoudende dranken te consumeren.","LAR-Syndroom --- Klachten en tips --- Hieronder staan de meest voorkomende klachten en wat u er zelf aan kan doen om de klachten te verminderen Vaak naar het toilet, wel 10 tot 15 keer per dag, ook ’s nachts. Dunnere ontlasting (soms waterdun) 
- Gebruik niet te veel cafeïne (koffie, zwarte thee, cola), deze stof versterkt de werking van de darm. 
- Drink niet meer dan 1,5 liter op een dag. Hiervan drinkt u ongeveer een halve liter water-gerelateerde dranken (zoals koffie, thee, bouillon), een halve liter verzuurde melkproducten (zoals karnemelk en yoghurt) en een halve liter andere dranken. 
- Vervang bij ernstige klachten de laatste halve liter door isotone-dranken, zoals sportdrank, ORS en kokoswater. Isotone- dranken worden sneller door het bloed opgenomen. 
- Eet vaker kleinere maaltijden (5 tot 6 keer per dag). 
- Sla geen maaltijden over, dit verergert de waterige ontlasting en de winderigheid. 
- Eet vezelrijke producten. De richtlijn is 30 tot 40 gram vezels per dag. Eet dus voldoende volkoren brood, fruit (maximaal 3 stuks) en groente. Vezels maken de ontlasting dikker. Eet eventueel vezelrijke producten bij uw drinken, bijvoorbeeld een volkoren biscuit, beschuitje of sneetje brood. 
- Eet zetmeelrijke producten, zoals aardappelen, peulvruchten en bananen. Zetmeel maakt de ontlasting dikker. 
- Stop met roken. Roken verhoogt de werking van de darm en zorgt voor winderigheid. In korte tijd (1,5 tot 2 uur) vaak achter elkaar naar het toilet moeten (clustering van ontlasting). Een sterke aandrang van ontlasting die moeilijk uit te stellen is 
- Volg de voedingstips die hierboven bij ‘Vaak naar het toilet moeten’ en ‘Dunnere ontlasting’ staan. 
- Vraag advies bij een arts of verpleegkundige als de klachten blijven. Ongewild verlies van ontlasting, waardoor de huid rondom de anus geïrriteerd kan raken 
- Maak na elke ontlasting de huid rond de anus schoon met water en een zacht washandje. Gebruik geen zeep of hard toiletpapier. 
- Bescherm de (geïrriteerde) huid rond de anus met sudocrème, bepanthen of zinkoxidezalf. Deze producten koopt u bij de drogist. Ongewilde winden laten, door minder controle over de sluitspier 
- Drink geen koolzuurhoudende dranken (fris met prik), die zorgen juist voor meer winderigheid en een opgeblazen gevoel. 
- Eet vaker kleinere maaltijden (5 tot 6 keer per dag). 
- Sla geen maaltijden over, dit verergert de waterige ontlasting en de winderigheid. 
- Kauw uw eten goed. 
- Eet rustig zonder veel te praten. 
- Stop met roken. Roken verhoogt de werking van de darm en zorgt voor winderigheid. 
- Algemene voedingsadviezen bij winderigheid te vinden op de site van het voedingscentrum.nl"
122,Mag ik heldere vloeistoffen blijven gebruiken tot het onderzoek?,U mag nog tot twee uur voor het onderzoek heldere vloeistoffen blijven gebruiken. Daarna moet u nuchter blijven.,"Moviprep voorbereiding --- Dag van het onderzoek --- 6.00 – 8.00 uur Neem één liter Moviprep in en drink één liter heldere vloeistoffen. U mag nog tot twee uur voor het onderzoek heldere vloeistoffen blijven gebruiken, daarna nuchter. Desnoods moeten de tijden van inname van de Moviprep hierbij vervroegd worden. Als het onderzoek in de middag plaatsvindt dan mag u om 07.30 nog een licht ontbijt, (naturel beschuit met een kopje thee). U mag dan tussen 8.00 uur en 10.00 uur de liter Moviprep en de liter heldere vloeistoffen drinken. U mag nog tot twee uur voor het onderzoek heldere vloeistoffen blijven gebruiken. Het is de bedoeling dat uw ontlasting een heldere, licht gele, kleur heeft. Mocht dit niet zo zijn dan is het aan te raden extra water te drinken, tot maximaal twee uur voor het onderzoek."
123,Wat mag ik niet gebruiken voor de behandeling van neusschelpverkleining?,"Voor de behandeling van neusschelpverkleining mag u geen medicijnen gebruiken die uw bloed dunner maken, zoals bijvoorbeeld Sintrom, Ascal en Aspirine.","Neusschelpverkleining (coblatie) --- Voor de behandeling --- - U mag voor deze behandeling geen medicijnen gebruiken die uw bloed dunner maken, zoals bijvoorbeeld Sintrom, Ascal en Aspirine. Als u één van deze medicijnen gebruikt, vragen wij u dit ruim een week voor de behandeling te melden aan uw KNO-arts. Andere medicijnen kunt u gewoon doorgebruiken. 
- U hoeft voor deze behandeling niet nuchter te zijn. Dit betekent dat u gewoon kunt eten en drinken tot vlak voor de ingreep. Wel adviseren wij u om 24 uur voor de behandeling geen alcoholhoudende dranken te gebruiken. 
- Neem uw afspraakkaart mee."
124,Mag ik eten of drinken op de dag van de PEG of PEG-J-plaatsing?,"Nee, op de dag van de PEG of PEG-J-plaatsing mag u vanaf ’s nachts 00:00 uur niet meer eten of drinken, ook geen sondevoeding.","PEG en PEG-J katheter --- Voorbereiding --- - Op de dag van de PEG of PEG-J-plaatsing mag u vanaf ’s nachts 00:00 uur niet meer eten of drinken, ook geen sondevoeding. 
- Als het onderzoek ’s middags na 13.00 uur plaatsvindt mag u nog een licht ontbijt (een naturel beschuit met een kopje thee). U mag dit ontbijt nuttigen tot zes uur voor het onderzoek. U mag nog heldere dranken (thee, water) gebruiken tot twee uur voor het onderzoek 
- Vertel uw medisch/verpleegkundig specialist of u medicijnen gebruikt, allergisch bent, een longziekte hebt, zwanger bent of ooit aan de maag geopereerd bent. 
- U kunt uw medicijnen gewoon blijven innemen, tenzij anders met u is afgesproken. Zie onder ‘Medicatie’ op pagina vier. 
- De maag-, darm- en leverarts voert de ingreep uit. U krijgt een infuus in uw arm. Via dit infuus krijgt u eerst antibiotica toegediend, later de sedatie."
125,"Hoe moet ik Tioguanine (Lanvis, Thiosix) bij IBD innemen?","Neem dit medicijn bij voorkeur in op een lege maag, dus tot een half uur voor of vanaf een uur na een maaltijd.","Tioguanine (Lanvis, Thiosix) bij IBD --- Wanneer? --- Neem dit medicijn bij voorkeur in op een lege maag, dus tot een half uur voor of vanaf een uur na een maaltijd. Gelijktijdige inname met voedsel kan dit medicijn namelijk minder werkzaam maken."
126,Wat zijn de meest voorkomende bijwerkingen van abatacept onderhuidse injectie?,"De meest voorkomende bijwerkingen van abatacept onderhuidse injectie zijn huiduitslag of jeuk op de plaats van de injectie, hoofdpijn, duizeligheid, buikpijn, misselijkheid, diarree, vermoeidheid en milde infecties zoals verkoudheid, griep en blaasontsteking.","Abatacept onderhuidse injectie --- Mogelijke bijwerkingen abatacept --- Bijwerkingen kunnen optreden. Meest voorkomend 
- Huiduitslag of jeuk op de plaats van de injectie. Dit is vrijwel altijd mild en op den duur verdwijnen de klachten bij de meeste patiënten. 
- Hoofdpijn, duizeligheid, buikpijn, misselijkheid, diarree en vermoeidheid 
- Milde infecties zoals verkoudheid, griep en blaasontsteking. Soms/zelden voorkomend 
- Bloeddrukverhoging, blozen of opvliegers. 
- Overgevoeligheidsreacties zoals al dan niet jeukende huidafwijkingen, moeilijk ademhalen, pijn op de borst, rillerigheid of lage bloeddruk. Bij ernstigere verschijnselen wordt het gebruik vaak gestopt. 
- Ernstige infecties."
127,Wat zijn de mogelijke bijwerkingen van allopurinol?,"Bijwerkingen van allopurinol kunnen optreden, waaronder maag-darmklachten, allergische huidreacties, verminderde aanmaak van bloedcellen, verstoring van de leverwerking, en ernstige overgevoeligheidsreacties.","Allopurinol --- Mogelijke bijwerkingen allopurinol --- Bijwerkingen kunnen optreden. Meest voorkomend 
- Maag-darmklachten zoals een vol gevoel, misselijkheid en braken, of diarree. Dit kan verminderen door de tabletten in te nemen na de maaltijd. 
- Allergische huidreacties. Stop de allopurinol in dat geval. Soms/zelden voorkomend 
- Verminderde aanmaak van bloedcellen. 
- Verstoring van de lever werking. 
- Ernstige overgevoeligheidsreacties."
128,Wat zijn de verschillende klachten die verband houden met ontlasting bij vrouwen?,"Enkele klachten die verband houden met ontlasting bij vrouwen zijn onder meer verlies van ontlasting, hevige aandrang voor ontlasting, het niet kunnen ophouden van windjes, obstipatie, ontlasting niet goed kwijtraken, loze aandrang en jeuk bij de anus.","Bekkenbodem problemen bij de vrouw --- Klachten met ontlasting --- Er zijn verschillende klachten die met de ontlasting te maken hebben, zoals: 
- verlies van ontlasting; 
- hevige aandrang voor ontlasting, niet kunnen uitstellen; 
- het niet kunnen ophouden van windjes; 
- obstipatie; 
- ontlasting niet goed kwijtraken; 
- loze aandrang; 
- jeuk bij de anus."
129,Wat is het mogelijke effect van een borstoperatie met prothese op het neusslijmvlies?,"Bijwerkingen kunnen zijn: irritatie van het neusslijmvlies, jeuk, branderigheid, prikkelende pijn en roodheid.","Borstoperatie met prothese --- Bijwerkingen --- Bijwerkingen kunnen zijn: irritatie van het neusslijmvlies, jeuk, branderigheid, prikkelende pijn en roodheid."
130,Wat is coma?,Coma is een toestand van diepe bewusteloosheid waaruit iemand niet kan worden wakker gemaakt.,"Coma hepaticum --- Coma --- Coma is een toestand van diepe bewusteloosheid waaruit iemand niet kan worden wakker gemaakt. Het kan meerdere oorzaken hebben, zoals een forse klap op de schedel, te hoge of te lage bloedsuikers, of alcoholmisbruik. Levercoma is een coma dat wordt veroorzaakt door een falende lever. Bepaalde schadelijke stoffen die normaal gesproken door de lever uit het bloed verwijderd worden, bereiken nu de hersenen en beschadigen deze. Dit wordt ook wel encefalopathie genoemd; aantasting van de hersenfuncties."
132,Wat zijn de meest voorkomende klachten bij functionele maagklachten?,"De meest voorkomende klachten bij functionele maagklachten zijn pijn in de bovenbuik, misselijkheid, opboeren en oprispingen, een opgeblazen gevoel, snel een vol gevoel hebben, een vieze smaak in de mond/slechte adem, en bij bukken of liggen kan er maagzuur terugstromen.","Functionele maagklachten --- Klachten bij functionele maagklachten --- - Pijn in de bovenbuik; 
- Misselijkheid; 
- Opboeren en oprispingen; 
- Een opgeblazen gevoel; 
- Snel een vol gevoel hebben; 
- Vieze smaak in de mond/slechte adem; 
- Bij bukken of liggen terugstromen van het maagzuur; 
- Soms braken."
139,Wat is een veelvoorkomende allergische reactie op clioquinol?,Clioquinol overgevoeligheid laat een allergische contact dermatitis zien.,"Clioquinol --- Wat zijn de verschijnselen bij een clioquinol allergie? --- Clioquinol overgevoeligheid laat een allergische contact dermatitis zien. De kwaal waarvoor het middel gebruikt wordt laat dan geen verbetering, soms juist een verslechtering, zien. Er kan toegenomen irritatie optreden met roodheid, jeuk en een branderig gevoel rond het geïnfecteerde gebied."
142,Hoe worden allergische reacties tijdens het inlopen van het Infliximab infuus behandeld?,Allergische reacties tijdens het inlopen van het Infliximab infuus kunnen meestal worden behandeld door het infuus langzamer toe te dienen of tijdelijk te stoppen. Soms zijn medicijnen zoals Prednisolon en/of een antihistaminicum nodig om de reactie te behandelen.,"Infliximab bij IBD --- Bijwerkingen --- Meest voorkomend: 
- Allergische reacties, zoals huiduitslag, jeuk, rillingen, kortademigheid en lagere bloeddruk tijdens het inlopen van het Infliximab infuus. Dit kan meestal worden behandeld door het infuus langzamer toe te dienen of tijdelijk te stoppen. Soms is het nodig om medicijnen zoals Prednisolon en/of een antihistaminicum te geven om deze allergische reactie te behandelen. Een volgende keer worden deze medicijnen dan preventief gegeven om herhaling van klachten te voorkomen. Meestal zijn de klachten echter mild en kan de behandeling worden voortgezet. 
- Milde infecties zoals verkoudheid en griep. 
- Hoofdpijn, huiduitslag (netelroos), misselijkheid en diarree. Zelden: 
- Tijdens gebruik van Infliximab kan bij patiënten die lijden aan ernstig hartfalen verslechtering in de hartfunctie optreden. Infliximab wordt daarom niet gegeven bij ernstig hartfalen. Bij mild hartfalen zal de medisch specialist goed controleren of er geen verslechtering in de hartfunctie optreedt. 
- Tijdens behandeling zijn ernstige infecties beschreven. Als u klachten of symptomen hebt die kunnen passen bij een ernstige infectie, zoals koorts, ernstige kortademigheid of hoesten, raadpleeg dan uw medisch specialist. Zeer zelden: 
- Tijdens anti TNF-behandeling kunnen andere auto-immuunziekten ontstaan. Zeer zelden bijvoorbeeld multiple sclerose (MS). Meld tintelingen, krachtsverlies of slechter zien aan uw medisch specialist."
